Description,References,Value,Quantity Per PCB,Spec,Tolerance,Voltage,Name,
Diode,D1 D2 D5 D6 D7 D8,1N4148,6,,,,,
Diode,D3 D4,1N5818,2,,,,,
Resistor,R3 R4 R6 R7 R8 R11 R15 R20 R21 R27 R28 R30 R33 R43 R48 R49 R56 R57 R60 R66 R68 R69,100k,22,,1%,,,
Resistor,R31 R32 R41 R42 R54 R55 R62 R64 R65 R67,220r,10,,1%,,,
Resistor,R19 R22 R38 R47 R58 R70 R71,10k,7,,1%,,,
Resistor,R12 R23 R36 R39 R40 R52 R53,22k,7,,1%,,,
Resistor,R29 R51 R61 R63,470r,4,,1%,,,
Resistor,R18 R24 R34 R44,1k,4,,1%,,,
Resistor,R1 R5 R59,47k,3,,1%,,,
Resistor,R17 R50,33k,2,,1%,,,
Resistor,R2 R45,4k7,2,,1%,,,
Resistor,R25,150k,1,,1%,,,
Resistor,R9 R26,220k,2,,1%,,,
Resistor,R10,2k,1,,1%,,,
Resistor,R14,120k,1,,1%,,,
Resistor,R35 R46,47r,2,,1%,,,
Resistor,R16,27k,1,,1%,,,
Resistor,R37,6k8,1,,1%,,,
Resistor,R13,1m,1,,1%,,,
Unpolarized capacitor,C4 C5 C8 C9 C11 C13 C22 C25 C26 C28 C31 C32 C34 C35,100nF,14,ceramic X7R,5%,,,
Polarized capacitor,C15 C17 C18 C20 C24,1uF,5,electrolytic,20%,50v,,
Polarized capacitor,C10 C14 C23 C36,10uF,4,electrolytic,20%,50v,,
Unpolarized capacitor,C21 C27 C30 C33,100pF,4,film polypropylene,5%,,,
Unpolarized capacitor,C2 C6 C7,22pF,3,ceramic C0G,5%,,,
Unpolarized capacitor,C12 C16,47nF,2,ceramic C0G,5%,,,
Unpolarized capacitor,C1 C19,10nF,2,ceramic C0G,5%,,,
Unpolarized capacitor,C3,220nF,1,ceramic X7R,5%,,,
Unpolarized capacitor,C29,1uF,1,electrolytic non polarised,20%,50v,,
IC,U4 U6 U7,LM13700,3,,,,,
IC,U1 U5,TL074,2,,,,,
IC,U3,TL072,1,,,,,
IC,U2,CD4093,1,,,,,
Transistor,Q1 Q2 Q4,2N3904,3,,,,,
Transistor,Q3 Q5 Q6,2N3906,3,,,,,
Trim-potentiometer,RV1,100k,1,single turn,,,Piezo Sensitivity,
Trim-potentiometer,RV2,1mB,1,single turn,,,,
Piezo,MK1,Piezo,1,27mm,,,,
Header,J4 J5,Conn_01x03_Header,2,,,,Piezo Normal Output Level Select,
Header,J6,Conn_01x04_Header,1,,,,Power Header Main,
Socket,J2,Conn_01x04_Socket,1,,,,Power Header Ctrl,
Socket,J1,Conn_02x10_Socket,1,,,,,
Header,J7,Conn_02x10_Header,1,,,,,
Jack,J8 J9 J10 J11,Eurorack Mono Jack,4,,,,Trig In Freq CV Decay CV Audio Out,
Socket,J3,Eurorack Power Small,1,,,,,
Potentiometer,RV3 RV4 RV5,100kA,3,,,,OSC1 Level OSC2 Level Noise Level,
Potentiometer,RV9 RV10 RV11 RV12 RV13,100kB,5,,,,Filter LFO Mod Filter Env Mod Filter Freq Filter Env Decay Amp Env Decay,
Potentiometer,RV6 RV7,1mA,2,,,,OSC1 Freq OSC2 Freq,
Potentiometer,RV8,50kB,1,,,,Filter Res,
Switch,SW1,DPDT,1,,,,OSC2 LFO,
